gene_id,gene_symbol,gene_name,chromosome,function,protein
GENE0935,GENE0935,GENE0935 Associated Gene,11,Protein Synthesis,GENE0935 Protein
GENE0936,GENE0936,GENE0936 Associated Gene,12,Metabolism,GENE0936 Protein
GENE0937,GENE0937,GENE0937 Associated Gene,13,Signal Transduction,GENE0937 Protein
GENE0938,GENE0938,GENE0938 Associated Gene,14,Apoptosis,GENE0938 Protein
GENE0939,GENE0939,GENE0939 Associated Gene,15,Cell Cycle Control,GENE0939 Protein
GENE0940,GENE0940,GENE0940 Associated Gene,16,Gene Expression,GENE0940 Protein
GENE0941,GENE0941,GENE0941 Associated Gene,17,DNA Repair,GENE0941 Protein
GENE0942,GENE0942,GENE0942 Associated Gene,18,Cell Signaling,GENE0942 Protein
GENE0943,GENE0943,GENE0943 Associated Gene,19,Tumor Suppression,GENE0943 Protein
GENE0944,GENE0944,GENE0944 Associated Gene,20,Immune Regulation,GENE0944 Protein
GENE0945,GENE0945,GENE0945 Associated Gene,21,Protein Synthesis,GENE0945 Protein
GENE0946,GENE0946,GENE0946 Associated Gene,22,Metabolism,GENE0946 Protein
GENE0947,GENE0947,GENE0947 Associated Gene,1,Signal Transduction,GENE0947 Protein
GENE0948,GENE0948,GENE0948 Associated Gene,2,Apoptosis,GENE0948 Protein
GENE0949,GENE0949,GENE0949 Associated Gene,3,Cell Cycle Control,GENE0949 Protein
GENE0950,GENE0950,GENE0950 Associated Gene,4,Gene Expression,GENE0950 Protein
GENE0951,GENE0951,GENE0951 Associated Gene,5,DNA Repair,GENE0951 Protein
GENE0952,GENE0952,GENE0952 Associated Gene,6,Cell Signaling,GENE0952 Protein
GENE0953,GENE0953,GENE0953 Associated Gene,7,Tumor Suppression,GENE0953 Protein
GENE0954,GENE0954,GENE0954 Associated Gene,8,Immune Regulation,GENE0954 Protein
GENE0955,GENE0955,GENE0955 Associated Gene,9,Protein Synthesis,GENE0955 Protein
GENE0956,GENE0956,GENE0956 Associated Gene,10,Metabolism,GENE0956 Protein
GENE0957,GENE0957,GENE0957 Associated Gene,11,Signal Transduction,GENE0957 Protein
GENE0958,GENE0958,GENE0958 Associated Gene,12,Apoptosis,GENE0958 Protein
GENE0959,GENE0959,GENE0959 Associated Gene,13,Cell Cycle Control,GENE0959 Protein
GENE0960,GENE0960,GENE0960 Associated Gene,14,Gene Expression,GENE0960 Protein
GENE0961,GENE0961,GENE0961 Associated Gene,15,DNA Repair,GENE0961 Protein
GENE0962,GENE0962,GENE0962 Associated Gene,16,Cell Signaling,GENE0962 Protein
GENE0963,GENE0963,GENE0963 Associated Gene,17,Tumor Suppression,GENE0963 Protein
GENE0964,GENE0964,GENE0964 Associated Gene,18,Immune Regulation,GENE0964 Protein
GENE0965,GENE0965,GENE0965 Associated Gene,19,Protein Synthesis,GENE0965 Protein
GENE0966,GENE0966,GENE0966 Associated Gene,20,Metabolism,GENE0966 Protein
GENE0967,GENE0967,GENE0967 Associated Gene,21,Signal Transduction,GENE0967 Protein
GENE0968,GENE0968,GENE0968 Associated Gene,22,Apoptosis,GENE0968 Protein
GENE0969,GENE0969,GENE0969 Associated Gene,1,Cell Cycle Control,GENE0969 Protein
GENE0970,GENE0970,GENE0970 Associated Gene,2,Gene Expression,GENE0970 Protein
GENE0971,GENE0971,GENE0971 Associated Gene,3,DNA Repair,GENE0971 Protein
GENE0972,GENE0972,GENE0972 Associated Gene,4,Cell Signaling,GENE0972 Protein
GENE0973,GENE0973,GENE0973 Associated Gene,5,Tumor Suppression,GENE0973 Protein
GENE0974,GENE0974,GENE0974 Associated Gene,6,Immune Regulation,GENE0974 Protein
GENE0975,GENE0975,GENE0975 Associated Gene,7,Protein Synthesis,GENE0975 Protein
GENE0976,GENE0976,GENE0976 Associated Gene,8,Metabolism,GENE0976 Protein
GENE0977,GENE0977,GENE0977 Associated Gene,9,Signal Transduction,GENE0977 Protein
GENE0978,GENE0978,GENE0978 Associated Gene,10,Apoptosis,GENE0978 Protein
GENE0979,GENE0979,GENE0979 Associated Gene,11,Cell Cycle Control,GENE0979 Protein
GENE0980,GENE0980,GENE0980 Associated Gene,12,Gene Expression,GENE0980 Protein
GENE0981,GENE0981,GENE0981 Associated Gene,13,DNA Repair,GENE0981 Protein
GENE0982,GENE0982,GENE0982 Associated Gene,14,Cell Signaling,GENE0982 Protein
GENE0983,GENE0983,GENE0983 Associated Gene,15,Tumor Suppression,GENE0983 Protein
GENE0984,GENE0984,GENE0984 Associated Gene,16,Immune Regulation,GENE0984 Protein
GENE0985,GENE0985,GENE0985 Associated Gene,17,Protein Synthesis,GENE0985 Protein
GENE0986,GENE0986,GENE0986 Associated Gene,18,Metabolism,GENE0986 Protein
GENE0987,GENE0987,GENE0987 Associated Gene,19,Signal Transduction,GENE0987 Protein
GENE0988,GENE0988,GENE0988 Associated Gene,20,Apoptosis,GENE0988 Protein
GENE0989,GENE0989,GENE0989 Associated Gene,21,Cell Cycle Control,GENE0989 Protein
GENE0990,GENE0990,GENE0990 Associated Gene,22,Gene Expression,GENE0990 Protein
GENE0991,GENE0991,GENE0991 Associated Gene,1,DNA Repair,GENE0991 Protein
GENE0992,GENE0992,GENE0992 Associated Gene,2,Cell Signaling,GENE0992 Protein
GENE0993,GENE0993,GENE0993 Associated Gene,3,Tumor Suppression,GENE0993 Protein
GENE0994,GENE0994,GENE0994 Associated Gene,4,Immune Regulation,GENE0994 Protein
GENE0995,GENE0995,GENE0995 Associated Gene,5,Protein Synthesis,GENE0995 Protein
GENE0996,GENE0996,GENE0996 Associated Gene,6,Metabolism,GENE0996 Protein
GENE0997,GENE0997,GENE0997 Associated Gene,7,Signal Transduction,GENE0997 Protein
GENE0998,GENE0998,GENE0998 Associated Gene,8,Apoptosis,GENE0998 Protein
GENE0999,GENE0999,GENE0999 Associated Gene,9,Cell Cycle Control,GENE0999 Protein
GENE1000,GENE1000,GENE1000 Associated Gene,10,Gene Expression,GENE1000 Protein
GENE1001,GENE1001,GENE1001 Associated Gene,11,DNA Repair,GENE1001 Protein
GENE1002,GENE1002,GENE1002 Associated Gene,12,Cell Signaling,GENE1002 Protein
GENE1003,GENE1003,GENE1003 Associated Gene,13,Tumor Suppression,GENE1003 Protein
GENE1004,GENE1004,GENE1004 Associated Gene,14,Immune Regulation,GENE1004 Protein
GENE1005,GENE1005,GENE1005 Associated Gene,15,Protein Synthesis,GENE1005 Protein
GENE1006,GENE1006,GENE1006 Associated Gene,16,Metabolism,GENE1006 Protein
GENE1007,GENE1007,GENE1007 Associated Gene,17,Signal Transduction,GENE1007 Protein
GENE1008,GENE1008,GENE1008 Associated Gene,18,Apoptosis,GENE1008 Protein
GENE1009,GENE1009,GENE1009 Associated Gene,19,Cell Cycle Control,GENE1009 Protein
GENE1010,GENE1010,GENE1010 Associated Gene,20,Gene Expression,GENE1010 Protein
GENE1011,GENE1011,GENE1011 Associated Gene,21,DNA Repair,GENE1011 Protein
GENE1012,GENE1012,GENE1012 Associated Gene,22,Cell Signaling,GENE1012 Protein
GENE1013,GENE1013,GENE1013 Associated Gene,1,Tumor Suppression,GENE1013 Protein
GENE1014,GENE1014,GENE1014 Associated Gene,2,Immune Regulation,GENE1014 Protein
GENE1015,GENE1015,GENE1015 Associated Gene,3,Protein Synthesis,GENE1015 Protein
GENE1016,GENE1016,GENE1016 Associated Gene,4,Metabolism,GENE1016 Protein
GENE1017,GENE1017,GENE1017 Associated Gene,5,Signal Transduction,GENE1017 Protein
GENE1018,GENE1018,GENE1018 Associated Gene,6,Apoptosis,GENE1018 Protein
GENE1019,GENE1019,GENE1019 Associated Gene,7,Cell Cycle Control,GENE1019 Protein
GENE1020,GENE1020,GENE1020 Associated Gene,8,Gene Expression,GENE1020 Protein
GENE1021,GENE1021,GENE1021 Associated Gene,9,DNA Repair,GENE1021 Protein
GENE1022,GENE1022,GENE1022 Associated Gene,10,Cell Signaling,GENE1022 Protein
GENE1023,GENE1023,GENE1023 Associated Gene,11,Tumor Suppression,GENE1023 Protein
GENE1024,GENE1024,GENE1024 Associated Gene,12,Immune Regulation,GENE1024 Protein
GENE1025,GENE1025,GENE1025 Associated Gene,13,Protein Synthesis,GENE1025 Protein
GENE1026,GENE1026,GENE1026 Associated Gene,14,Metabolism,GENE1026 Protein
GENE1027,GENE1027,GENE1027 Associated Gene,15,Signal Transduction,GENE1027 Protein
GENE1028,GENE1028,GENE1028 Associated Gene,16,Apoptosis,GENE1028 Protein
GENE1029,GENE1029,GENE1029 Associated Gene,17,Cell Cycle Control,GENE1029 Protein
GENE1030,GENE1030,GENE1030 Associated Gene,18,Gene Expression,GENE1030 Protein
GENE1031,GENE1031,GENE1031 Associated Gene,19,DNA Repair,GENE1031 Protein
GENE1032,GENE1032,GENE1032 Associated Gene,20,Cell Signaling,GENE1032 Protein
GENE1033,GENE1033,GENE1033 Associated Gene,21,Tumor Suppression,GENE1033 Protein
GENE1034,GENE1034,GENE1034 Associated Gene,22,Immune Regulation,GENE1034 Protein
GENE1035,GENE1035,GENE1035 Associated Gene,1,Protein Synthesis,GENE1035 Protein
GENE1036,GENE1036,GENE1036 Associated Gene,2,Metabolism,GENE1036 Protein
GENE1037,GENE1037,GENE1037 Associated Gene,3,Signal Transduction,GENE1037 Protein
GENE1038,GENE1038,GENE1038 Associated Gene,4,Apoptosis,GENE1038 Protein
GENE1039,GENE1039,GENE1039 Associated Gene,5,Cell Cycle Control,GENE1039 Protein
GENE1040,GENE1040,GENE1040 Associated Gene,6,Gene Expression,GENE1040 Protein
GENE1041,GENE1041,GENE1041 Associated Gene,7,DNA Repair,GENE1041 Protein
GENE1042,GENE1042,GENE1042 Associated Gene,8,Cell Signaling,GENE1042 Protein
GENE1043,GENE1043,GENE1043 Associated Gene,9,Tumor Suppression,GENE1043 Protein
GENE1044,GENE1044,GENE1044 Associated Gene,10,Immune Regulation,GENE1044 Protein
GENE1045,GENE1045,GENE1045 Associated Gene,11,Protein Synthesis,GENE1045 Protein
GENE1046,GENE1046,GENE1046 Associated Gene,12,Metabolism,GENE1046 Protein
GENE1047,GENE1047,GENE1047 Associated Gene,13,Signal Transduction,GENE1047 Protein
GENE1048,GENE1048,GENE1048 Associated Gene,14,Apoptosis,GENE1048 Protein
GENE1049,GENE1049,GENE1049 Associated Gene,15,Cell Cycle Control,GENE1049 Protein
GENE1050,GENE1050,GENE1050 Associated Gene,16,Gene Expression,GENE1050 Protein
GENE1051,GENE1051,GENE1051 Associated Gene,17,DNA Repair,GENE1051 Protein
GENE1052,GENE1052,GENE1052 Associated Gene,18,Cell Signaling,GENE1052 Protein
GENE1053,GENE1053,GENE1053 Associated Gene,19,Tumor Suppression,GENE1053 Protein
GENE1054,GENE1054,GENE1054 Associated Gene,20,Immune Regulation,GENE1054 Protein
GENE1055,GENE1055,GENE1055 Associated Gene,21,Protein Synthesis,GENE1055 Protein
GENE1056,GENE1056,GENE1056 Associated Gene,22,Metabolism,GENE1056 Protein
GENE1057,GENE1057,GENE1057 Associated Gene,1,Signal Transduction,GENE1057 Protein
GENE1058,GENE1058,GENE1058 Associated Gene,2,Apoptosis,GENE1058 Protein
GENE1059,GENE1059,GENE1059 Associated Gene,3,Cell Cycle Control,GENE1059 Protein
GENE1060,GENE1060,GENE1060 Associated Gene,4,Gene Expression,GENE1060 Protein
GENE1061,GENE1061,GENE1061 Associated Gene,5,DNA Repair,GENE1061 Protein
GENE1062,GENE1062,GENE1062 Associated Gene,6,Cell Signaling,GENE1062 Protein
GENE1063,GENE1063,GENE1063 Associated Gene,7,Tumor Suppression,GENE1063 Protein
GENE1064,GENE1064,GENE1064 Associated Gene,8,Immune Regulation,GENE1064 Protein
GENE1065,GENE1065,GENE1065 Associated Gene,9,Protein Synthesis,GENE1065 Protein
GENE1066,GENE1066,GENE1066 Associated Gene,10,Metabolism,GENE1066 Protein
GENE1067,GENE1067,GENE1067 Associated Gene,11,Signal Transduction,GENE1067 Protein
GENE1068,GENE1068,GENE1068 Associated Gene,12,Apoptosis,GENE1068 Protein
GENE1069,GENE1069,GENE1069 Associated Gene,13,Cell Cycle Control,GENE1069 Protein
GENE1070,GENE1070,GENE1070 Associated Gene,14,Gene Expression,GENE1070 Protein
GENE1071,GENE1071,GENE1071 Associated Gene,15,DNA Repair,GENE1071 Protein
GENE1072,GENE1072,GENE1072 Associated Gene,16,Cell Signaling,GENE1072 Protein
GENE1073,GENE1073,GENE1073 Associated Gene,17,Tumor Suppression,GENE1073 Protein
GENE1074,GENE1074,GENE1074 Associated Gene,18,Immune Regulation,GENE1074 Protein
GENE1075,GENE1075,GENE1075 Associated Gene,19,Protein Synthesis,GENE1075 Protein
GENE1076,GENE1076,GENE1076 Associated Gene,20,Metabolism,GENE1076 Protein
GENE1077,GENE1077,GENE1077 Associated Gene,21,Signal Transduction,GENE1077 Protein
GENE1078,GENE1078,GENE1078 Associated Gene,22,Apoptosis,GENE1078 Protein
GENE1079,GENE1079,GENE1079 Associated Gene,1,Cell Cycle Control,GENE1079 Protein
GENE1080,GENE1080,GENE1080 Associated Gene,2,Gene Expression,GENE1080 Protein
GENE1081,GENE1081,GENE1081 Associated Gene,3,DNA Repair,GENE1081 Protein
GENE1082,GENE1082,GENE1082 Associated Gene,4,Cell Signaling,GENE1082 Protein
GENE1083,GENE1083,GENE1083 Associated Gene,5,Tumor Suppression,GENE1083 Protein
GENE1084,GENE1084,GENE1084 Associated Gene,6,Immune Regulation,GENE1084 Protein
GENE1085,GENE1085,GENE1085 Associated Gene,7,Protein Synthesis,GENE1085 Protein
GENE1086,GENE1086,GENE1086 Associated Gene,8,Metabolism,GENE1086 Protein
GENE1087,GENE1087,GENE1087 Associated Gene,9,Signal Transduction,GENE1087 Protein
GENE1088,GENE1088,GENE1088 Associated Gene,10,Apoptosis,GENE1088 Protein
GENE1089,GENE1089,GENE1089 Associated Gene,11,Cell Cycle Control,GENE1089 Protein
GENE1090,GENE1090,GENE1090 Associated Gene,12,Gene Expression,GENE1090 Protein
GENE1091,GENE1091,GENE1091 Associated Gene,13,DNA Repair,GENE1091 Protein
GENE1092,GENE1092,GENE1092 Associated Gene,14,Cell Signaling,GENE1092 Protein
GENE1093,GENE1093,GENE1093 Associated Gene,15,Tumor Suppression,GENE1093 Protein
GENE1094,GENE1094,GENE1094 Associated Gene,16,Immune Regulation,GENE1094 Protein
GENE1095,GENE1095,GENE1095 Associated Gene,17,Protein Synthesis,GENE1095 Protein
GENE1096,GENE1096,GENE1096 Associated Gene,18,Metabolism,GENE1096 Protein
GENE1097,GENE1097,GENE1097 Associated Gene,19,Signal Transduction,GENE1097 Protein
GENE1098,GENE1098,GENE1098 Associated Gene,20,Apoptosis,GENE1098 Protein
GENE1099,GENE1099,GENE1099 Associated Gene,21,Cell Cycle Control,GENE1099 Protein
GENE1100,GENE1100,GENE1100 Associated Gene,22,Gene Expression,GENE1100 Protein
GENE1101,GENE1101,GENE1101 Associated Gene,1,DNA Repair,GENE1101 Protein
GENE1102,GENE1102,GENE1102 Associated Gene,2,Cell Signaling,GENE1102 Protein
GENE1103,GENE1103,GENE1103 Associated Gene,3,Tumor Suppression,GENE1103 Protein
GENE1104,GENE1104,GENE1104 Associated Gene,4,Immune Regulation,GENE1104 Protein
GENE1105,GENE1105,GENE1105 Associated Gene,5,Protein Synthesis,GENE1105 Protein
GENE1106,GENE1106,GENE1106 Associated Gene,6,Metabolism,GENE1106 Protein
GENE1107,GENE1107,GENE1107 Associated Gene,7,Signal Transduction,GENE1107 Protein
GENE1108,GENE1108,GENE1108 Associated Gene,8,Apoptosis,GENE1108 Protein
GENE1109,GENE1109,GENE1109 Associated Gene,9,Cell Cycle Control,GENE1109 Protein
GENE1110,GENE1110,GENE1110 Associated Gene,10,Gene Expression,GENE1110 Protein
GENE1111,GENE1111,GENE1111 Associated Gene,11,DNA Repair,GENE1111 Protein
GENE1112,GENE1112,GENE1112 Associated Gene,12,Cell Signaling,GENE1112 Protein
GENE1113,GENE1113,GENE1113 Associated Gene,13,Tumor Suppression,GENE1113 Protein
GENE1114,GENE1114,GENE1114 Associated Gene,14,Immune Regulation,GENE1114 Protein
GENE1115,GENE1115,GENE1115 Associated Gene,15,Protein Synthesis,GENE1115 Protein
GENE1116,GENE1116,GENE1116 Associated Gene,16,Metabolism,GENE1116 Protein
GENE1117,GENE1117,GENE1117 Associated Gene,17,Signal Transduction,GENE1117 Protein
GENE1118,GENE1118,GENE1118 Associated Gene,18,Apoptosis,GENE1118 Protein
GENE1119,GENE1119,GENE1119 Associated Gene,19,Cell Cycle Control,GENE1119 Protein
GENE1120,GENE1120,GENE1120 Associated Gene,20,Gene Expression,GENE1120 Protein
GENE1121,GENE1121,GENE1121 Associated Gene,21,DNA Repair,GENE1121 Protein
GENE1122,GENE1122,GENE1122 Associated Gene,22,Cell Signaling,GENE1122 Protein
GENE1123,GENE1123,GENE1123 Associated Gene,1,Tumor Suppression,GENE1123 Protein
GENE1124,GENE1124,GENE1124 Associated Gene,2,Immune Regulation,GENE1124 Protein
GENE1125,GENE1125,GENE1125 Associated Gene,3,Protein Synthesis,GENE1125 Protein
GENE1126,GENE1126,GENE1126 Associated Gene,4,Metabolism,GENE1126 Protein
GENE1127,GENE1127,GENE1127 Associated Gene,5,Signal Transduction,GENE1127 Protein
GENE1128,GENE1128,GENE1128 Associated Gene,6,Apoptosis,GENE1128 Protein
GENE1129,GENE1129,GENE1129 Associated Gene,7,Cell Cycle Control,GENE1129 Protein
GENE1130,GENE1130,GENE1130 Associated Gene,8,Gene Expression,GENE1130 Protein
GENE1131,GENE1131,GENE1131 Associated Gene,9,DNA Repair,GENE1131 Protein
GENE1132,GENE1132,GENE1132 Associated Gene,10,Cell Signaling,GENE1132 Protein
GENE1133,GENE1133,GENE1133 Associated Gene,11,Tumor Suppression,GENE1133 Protein
GENE1134,GENE1134,GENE1134 Associated Gene,12,Immune Regulation,GENE1134 Protein
GENE1135,GENE1135,GENE1135 Associated Gene,13,Protein Synthesis,GENE1135 Protein
GENE1136,GENE1136,GENE1136 Associated Gene,14,Metabolism,GENE1136 Protein
GENE1137,GENE1137,GENE1137 Associated Gene,15,Signal Transduction,GENE1137 Protein
GENE1138,GENE1138,GENE1138 Associated Gene,16,Apoptosis,GENE1138 Protein
GENE1139,GENE1139,GENE1139 Associated Gene,17,Cell Cycle Control,GENE1139 Protein
GENE1140,GENE1140,GENE1140 Associated Gene,18,Gene Expression,GENE1140 Protein
GENE1141,GENE1141,GENE1141 Associated Gene,19,DNA Repair,GENE1141 Protein
GENE1142,GENE1142,GENE1142 Associated Gene,20,Cell Signaling,GENE1142 Protein
GENE1143,GENE1143,GENE1143 Associated Gene,21,Tumor Suppression,GENE1143 Protein
GENE1144,GENE1144,GENE1144 Associated Gene,22,Immune Regulation,GENE1144 Protein
GENE1145,GENE1145,GENE1145 Associated Gene,1,Protein Synthesis,GENE1145 Protein
GENE1146,GENE1146,GENE1146 Associated Gene,2,Metabolism,GENE1146 Protein
GENE1147,GENE1147,GENE1147 Associated Gene,3,Signal Transduction,GENE1147 Protein
GENE1148,GENE1148,GENE1148 Associated Gene,4,Apoptosis,GENE1148 Protein
GENE1149,GENE1149,GENE1149 Associated Gene,5,Cell Cycle Control,GENE1149 Protein
GENE1150,GENE1150,GENE1150 Associated Gene,6,Gene Expression,GENE1150 Protein
GENE1151,GENE1151,GENE1151 Associated Gene,7,DNA Repair,GENE1151 Protein
GENE1152,GENE1152,GENE1152 Associated Gene,8,Cell Signaling,GENE1152 Protein
GENE1153,GENE1153,GENE1153 Associated Gene,9,Tumor Suppression,GENE1153 Protein
GENE1154,GENE1154,GENE1154 Associated Gene,10,Immune Regulation,GENE1154 Protein
GENE1155,GENE1155,GENE1155 Associated Gene,11,Protein Synthesis,GENE1155 Protein
GENE1156,GENE1156,GENE1156 Associated Gene,12,Metabolism,GENE1156 Protein
GENE1157,GENE1157,GENE1157 Associated Gene,13,Signal Transduction,GENE1157 Protein
GENE1158,GENE1158,GENE1158 Associated Gene,14,Apoptosis,GENE1158 Protein
GENE1159,GENE1159,GENE1159 Associated Gene,15,Cell Cycle Control,GENE1159 Protein
GENE1160,GENE1160,GENE1160 Associated Gene,16,Gene Expression,GENE1160 Protein
GENE1161,GENE1161,GENE1161 Associated Gene,17,DNA Repair,GENE1161 Protein
GENE1162,GENE1162,GENE1162 Associated Gene,18,Cell Signaling,GENE1162 Protein
GENE1163,GENE1163,GENE1163 Associated Gene,19,Tumor Suppression,GENE1163 Protein
GENE1164,GENE1164,GENE1164 Associated Gene,20,Immune Regulation,GENE1164 Protein
GENE1165,GENE1165,GENE1165 Associated Gene,21,Protein Synthesis,GENE1165 Protein
GENE1166,GENE1166,GENE1166 Associated Gene,22,Metabolism,GENE1166 Protein
GENE1167,GENE1167,GENE1167 Associated Gene,1,Signal Transduction,GENE1167 Protein
GENE1168,GENE1168,GENE1168 Associated Gene,2,Apoptosis,GENE1168 Protein
GENE1169,GENE1169,GENE1169 Associated Gene,3,Cell Cycle Control,GENE1169 Protein
GENE1170,GENE1170,GENE1170 Associated Gene,4,Gene Expression,GENE1170 Protein
GENE1171,GENE1171,GENE1171 Associated Gene,5,DNA Repair,GENE1171 Protein
GENE1172,GENE1172,GENE1172 Associated Gene,6,Cell Signaling,GENE1172 Protein
GENE1173,GENE1173,GENE1173 Associated Gene,7,Tumor Suppression,GENE1173 Protein
GENE1174,GENE1174,GENE1174 Associated Gene,8,Immune Regulation,GENE1174 Protein
GENE1175,GENE1175,GENE1175 Associated Gene,9,Protein Synthesis,GENE1175 Protein
GENE1176,GENE1176,GENE1176 Associated Gene,10,Metabolism,GENE1176 Protein
GENE1177,GENE1177,GENE1177 Associated Gene,11,Signal Transduction,GENE1177 Protein
GENE1178,GENE1178,GENE1178 Associated Gene,12,Apoptosis,GENE1178 Protein
GENE1179,GENE1179,GENE1179 Associated Gene,13,Cell Cycle Control,GENE1179 Protein
GENE1180,GENE1180,GENE1180 Associated Gene,14,Gene Expression,GENE1180 Protein
GENE1181,GENE1181,GENE1181 Associated Gene,15,DNA Repair,GENE1181 Protein
GENE1182,GENE1182,GENE1182 Associated Gene,16,Cell Signaling,GENE1182 Protein
GENE1183,GENE1183,GENE1183 Associated Gene,17,Tumor Suppression,GENE1183 Protein
GENE1184,GENE1184,GENE1184 Associated Gene,18,Immune Regulation,GENE1184 Protein
GENE1185,GENE1185,GENE1185 Associated Gene,19,Protein Synthesis,GENE1185 Protein
GENE1186,GENE1186,GENE1186 Associated Gene,20,Metabolism,GENE1186 Protein
GENE1187,GENE1187,GENE1187 Associated Gene,21,Signal Transduction,GENE1187 Protein
GENE1188,GENE1188,GENE1188 Associated Gene,22,Apoptosis,GENE1188 Protein
GENE1189,GENE1189,GENE1189 Associated Gene,1,Cell Cycle Control,GENE1189 Protein
GENE1190,GENE1190,GENE1190 Associated Gene,2,Gene Expression,GENE1190 Protein
GENE1191,GENE1191,GENE1191 Associated Gene,3,DNA Repair,GENE1191 Protein
GENE1192,GENE1192,GENE1192 Associated Gene,4,Cell Signaling,GENE1192 Protein
GENE1193,GENE1193,GENE1193 Associated Gene,5,Tumor Suppression,GENE1193 Protein
GENE1194,GENE1194,GENE1194 Associated Gene,6,Immune Regulation,GENE1194 Protein
GENE1195,GENE1195,GENE1195 Associated Gene,7,Protein Synthesis,GENE1195 Protein
GENE1196,GENE1196,GENE1196 Associated Gene,8,Metabolism,GENE1196 Protein
GENE1197,GENE1197,GENE1197 Associated Gene,9,Signal Transduction,GENE1197 Protein
GENE1198,GENE1198,GENE1198 Associated Gene,10,Apoptosis,GENE1198 Protein
GENE1199,GENE1199,GENE1199 Associated Gene,11,Cell Cycle Control,GENE1199 Protein
GENE1200,GENE1200,GENE1200 Associated Gene,12,Gene Expression,GENE1200 Protein
GENE1201,GENE1201,GENE1201 Associated Gene,13,DNA Repair,GENE1201 Protein
GENE1202,GENE1202,GENE1202 Associated Gene,14,Cell Signaling,GENE1202 Protein
GENE1203,GENE1203,GENE1203 Associated Gene,15,Tumor Suppression,GENE1203 Protein
GENE1204,GENE1204,GENE1204 Associated Gene,16,Immune Regulation,GENE1204 Protein
GENE1205,GENE1205,GENE1205 Associated Gene,17,Protein Synthesis,GENE1205 Protein
GENE1206,GENE1206,GENE1206 Associated Gene,18,Metabolism,GENE1206 Protein
GENE1207,GENE1207,GENE1207 Associated Gene,19,Signal Transduction,GENE1207 Protein
GENE1208,GENE1208,GENE1208 Associated Gene,20,Apoptosis,GENE1208 Protein
GENE1209,GENE1209,GENE1209 Associated Gene,21,Cell Cycle Control,GENE1209 Protein
GENE1210,GENE1210,GENE1210 Associated Gene,22,Gene Expression,GENE1210 Protein
GENE1211,GENE1211,GENE1211 Associated Gene,1,DNA Repair,GENE1211 Protein
GENE1212,GENE1212,GENE1212 Associated Gene,2,Cell Signaling,GENE1212 Protein
GENE1213,GENE1213,GENE1213 Associated Gene,3,Tumor Suppression,GENE1213 Protein
GENE1214,GENE1214,GENE1214 Associated Gene,4,Immune Regulation,GENE1214 Protein
GENE1215,GENE1215,GENE1215 Associated Gene,5,Protein Synthesis,GENE1215 Protein
GENE1216,GENE1216,GENE1216 Associated Gene,6,Metabolism,GENE1216 Protein
GENE1217,GENE1217,GENE1217 Associated Gene,7,Signal Transduction,GENE1217 Protein
GENE1218,GENE1218,GENE1218 Associated Gene,8,Apoptosis,GENE1218 Protein
GENE1219,GENE1219,GENE1219 Associated Gene,9,Cell Cycle Control,GENE1219 Protein
GENE1220,GENE1220,GENE1220 Associated Gene,10,Gene Expression,GENE1220 Protein
GENE1221,GENE1221,GENE1221 Associated Gene,11,DNA Repair,GENE1221 Protein
GENE1222,GENE1222,GENE1222 Associated Gene,12,Cell Signaling,GENE1222 Protein
GENE1223,GENE1223,GENE1223 Associated Gene,13,Tumor Suppression,GENE1223 Protein
GENE1224,GENE1224,GENE1224 Associated Gene,14,Immune Regulation,GENE1224 Protein
GENE1225,GENE1225,GENE1225 Associated Gene,15,Protein Synthesis,GENE1225 Protein
GENE1226,GENE1226,GENE1226 Associated Gene,16,Metabolism,GENE1226 Protein
GENE1227,GENE1227,GENE1227 Associated Gene,17,Signal Transduction,GENE1227 Protein
GENE1228,GENE1228,GENE1228 Associated Gene,18,Apoptosis,GENE1228 Protein
GENE1229,GENE1229,GENE1229 Associated Gene,19,Cell Cycle Control,GENE1229 Protein
GENE1230,GENE1230,GENE1230 Associated Gene,20,Gene Expression,GENE1230 Protein
GENE1231,GENE1231,GENE1231 Associated Gene,21,DNA Repair,GENE1231 Protein
GENE1232,GENE1232,GENE1232 Associated Gene,22,Cell Signaling,GENE1232 Protein
GENE1233,GENE1233,GENE1233 Associated Gene,1,Tumor Suppression,GENE1233 Protein
GENE1234,GENE1234,GENE1234 Associated Gene,2,Immune Regulation,GENE1234 Protein
GENE1235,GENE1235,GENE1235 Associated Gene,3,Protein Synthesis,GENE1235 Protein
GENE1236,GENE1236,GENE1236 Associated Gene,4,Metabolism,GENE1236 Protein
GENE1237,GENE1237,GENE1237 Associated Gene,5,Signal Transduction,GENE1237 Protein
GENE1238,GENE1238,GENE1238 Associated Gene,6,Apoptosis,GENE1238 Protein
GENE1239,GENE1239,GENE1239 Associated Gene,7,Cell Cycle Control,GENE1239 Protein
GENE1240,GENE1240,GENE1240 Associated Gene,8,Gene Expression,GENE1240 Protein
GENE1241,GENE1241,GENE1241 Associated Gene,9,DNA Repair,GENE1241 Protein
GENE1242,GENE1242,GENE1242 Associated Gene,10,Cell Signaling,GENE1242 Protein
GENE1243,GENE1243,GENE1243 Associated Gene,11,Tumor Suppression,GENE1243 Protein
GENE1244,GENE1244,GENE1244 Associated Gene,12,Immune Regulation,GENE1244 Protein
GENE1245,GENE1245,GENE1245 Associated Gene,13,Protein Synthesis,GENE1245 Protein
